id,nutrient_nbr,rank,name_with_unit
2047,957.0,280.0,Energy (Atwater General Factors) (KCAL)
2048,958.0,290.0,Energy (Atwater Specific Factors) (KCAL)
1001,201.0,200.0,Solids (G)
1002,202.0,500.0,Nitrogen (G)
1003,203.0,600.0,Protein (G)
1004,204.0,800.0,Total lipid (fat) (G)
1005,205.0,1110.0,"Carbohydrate, by difference (G)"
1006,206.0,999999.0,"Fiber, crude (DO NOT USE - Archived) (G)"
1007,207.0,1000.0,Ash (G)
1008,208.0,300.0,Energy (KCAL)
1009,209.0,2200.0,Starch (G)
1010,210.0,1600.0,Sucrose (G)
1011,211.0,1700.0,Glucose (G)
1012,212.0,1800.0,Fructose (G)
1013,213.0,1900.0,Lactose (G)
1014,214.0,2000.0,Maltose (G)
1015,218.0,999999.0,Amylose (G)
1016,219.0,999999.0,Amylopectin (G)
1017,220.0,999999.0,Pectin (G)
1018,221.0,18200.0,"Alcohol, ethyl (G)"
1019,222.0,999999.0,Pentosan (G)
1020,223.0,999999.0,Pentoses (G)
1021,224.0,999999.0,Hemicellulose (G)
1022,225.0,999999.0,Cellulose (G)
1023,226.0,999999.0,pH (PH)
1024,227.0,999999.0,Specific Gravity (SP_GR)
1025,229.0,2850.0,Organic acids (G)
1026,230.0,2900.0,Acetic acid (MG)
1027,231.0,3000.0,Aconitic acid (MG)
1028,232.0,3100.0,Benzoic acid (MG)
1029,233.0,3200.0,Chelidonic acid (MG)
1030,234.0,3300.0,Chlorogenic acid (MG)
1031,235.0,3400.0,Cinnamic acid (MG)
1032,236.0,3500.0,Citric acid (MG)
1033,237.0,3600.0,Fumaric acid (MG)
1034,238.0,3700.0,Galacturonic acid (MG)
1035,239.0,3800.0,Gallic acid (MG)
1036,240.0,3900.0,Glycolic acid (MG)
1037,241.0,4000.0,Isocitric acid (MG)
1038,242.0,4100.0,Lactic acid (MG)
1039,243.0,4200.0,Malic acid (MG)
1040,244.0,4300.0,Oxaloacetic acid (MG)
1041,245.0,4400.0,Oxalic acid (MG)
1042,246.0,4500.0,Phytic acid (MG)
1043,247.0,4600.0,Pyruvic acid (MG)
1044,248.0,4700.0,Quinic acid (MG)
1045,249.0,4800.0,Salicylic acid (MG)
1046,250.0,4900.0,Succinic acid (MG)
1047,251.0,5000.0,Tartaric acid (MG)
1048,252.0,5100.0,Ursolic acid (MG)
1049,253.0,999999.0,"Solids, non-fat (G)"
1050,205.2,1120.0,"Carbohydrate, by summation (G)"
1051,255.0,100.0,Water (G)
1052,256.0,999999.0,Adjusted Nitrogen (G)
1053,257.0,700.0,Adjusted Protein (G)
